"year","month","day","hour","DALMP","LOAD","WIND","OUTAGES"
2014,1,5,8,31.76,34797.083893,7941.94,11844
2014,1,5,9,35.86,36806.72625,6741.24,11844
2014,1,5,10,37.15,38347.379863,5128.49,11844
2014,1,5,11,37.11,38917.643305,5815.91,12684
2014,1,5,12,31.19,38805.47058,5580.63,12731
2014,1,5,13,29.27,38661.270725,5002.94,12750
2014,1,5,14,28.18,38009.786135,4486.22,12418
2014,1,5,15,27.11,37381.504405,4433.8,12418
2014,1,5,16,26.5,37181.193158,4485.65,12371
2014,1,5,17,26.91,37950.889538,4393.52,12371
2014,1,5,18,34.92,41092.274055,4171.2,11716
2014,1,5,19,45.85,45164.920448,3663.13,11113
2014,1,5,20,43.71,46605.325413,3502.77,10611
2014,1,5,21,41.35,47208.928503,4134.66,11113
2014,1,5,22,38.84,46980.33399,5009.66,10611
2014,1,5,23,33.62,45968.69948,6001.65,10140
2014,1,6,0,31.3,44572.364905,6654.67,10028
2014,1,6,1,30.41,44020.349025,6863.69,10642
2014,1,6,2,30,44270.276788,7260.14,10575
2014,1,6,3,30.9,44773.840328,7112.52,10930
2014,1,6,4,32.24,45694.61703,5932.21,10930
2014,1,6,5,37.63,47110.974915,4652.59,10943
2014,1,6,6,44.89,50196.164413,3461.67,10628
2014,1,6,7,90.71,54332.209558,2522.16,11092
2014,1,6,8,94.74,55627.438995,2123.77,11092
2014,1,6,9,65,55241.849283,1782.14,10730
2014,1,6,10,53.75,55302.325178,1539.46,11382
2014,1,6,11,49.82,54729.263325,1501.5,11442
2014,1,6,12,43.77,53556.881583,1404.57,11847
2014,1,6,13,39.17,51961.646513,1330.9,11708
2014,1,6,14,32.57,50501.718965,1040.45,11257
2014,1,6,15,30.62,49096.98069,792.61,11203
2014,1,6,16,30.02,48408.17922,792.93,11761
2014,1,6,17,32.78,48952.797425,722.77,12513
2014,1,6,18,48.84,51583.506595,686.15,12546
2014,1,6,19,67.54,55300.598613,860.12,12500
2014,1,6,20,64.32,55993.72662,1161.89,12464
2014,1,6,21,54.33,55908.097603,1702.92,12464
2014,1,6,22,50,54655.57044,2319.13,12067
2014,1,6,23,40.7,52219.67569,3322.03,12226
2014,1,7,0,37,50029.400733,4692.58,12415
2014,1,7,1,35.2,48618.471843,5646.48,12793
2014,1,7,2,36.16,48108.25467,5547.6,12793
2014,1,7,3,36.19,48044.794265,5571.97,12231
2014,1,7,4,38.4,48470.764043,5425.08,12231
2014,1,7,5,47.84,49433.387553,5495.66,12231
2014,1,7,6,67.85,51991.530035,5307.19,12231
2014,1,7,7,156.99,55983.616288,5104.47,12300
2014,1,7,8,122.07,57417.842715,5407.38,12122
2014,1,7,9,67.33,55293.681648,5543.24,12122
2014,1,7,10,55.23,52660.783825,5143.57,12122
2014,1,7,11,52.21,50136.32054,4373.69,13117
2014,1,7,12,41.37,47580.972213,4402.39,13332
2014,1,7,13,34.48,45279.2601,4617.37,12726
2014,1,7,14,31.52,43467.03486,5184.14,12821
2014,1,7,15,29.78,41988.542405,5221.59,11884
2014,1,7,16,29.21,41481.03596,5233.89,11884
2014,1,7,17,30.93,42296.68719,5657.33,11671
2014,1,7,18,37.15,44895.99309,6269.93,11987
2014,1,7,19,52.1,48454.313613,6551.08,11987
2014,1,7,20,44.99,48951.776525,7160.15,11987
2014,1,7,21,43.52,48580.01004,7699.22,11987
2014,1,7,22,38.41,46979.194363,7956.21,11987
2014,1,7,23,35.98,44151.43808,8068.06,11987
2014,1,8,0,34.6,41235.170055,8050.64,11987
2014,1,8,1,29.42,39309.067578,7905.37,11996
2014,1,8,2,28.2,38274.455043,8048.12,11996
2014,1,8,3,27.29,37767.401968,8044.49,12821
2014,1,8,4,27.4,37667.425,7977.44,12821
2014,1,8,5,28.82,38307.093528,7712.48,12821
2014,1,8,6,34.06,40318.402715,7361.42,12821
2014,1,8,7,54.55,43996.614255,7039.77,13570
2014,1,8,8,51.58,45402.383885,6670.19,13570
2014,1,8,9,37.06,43972.370843,6633.78,13570
2014,1,8,10,36.91,43523.29314,6089.8,13684
2014,1,8,11,36.12,43161.613013,5483.44,13087
2014,1,8,12,31.05,42596.913515,4833.63,13087
2014,1,8,13,29.78,41785.776663,3997.61,11625
2014,1,8,14,28.68,41077.433583,3180.48,11567
2014,1,8,15,28.68,40270.060103,2190.01,11967
2014,1,8,16,27.52,39588.74817,1682.08,11967
2014,1,8,17,29.29,39826.350663,1472.53,11237
2014,1,8,18,39.2,41064.618433,1122.81,10849
2014,1,8,19,44.69,42599.07578,975.51,10849
2014,1,8,20,39.51,42084.251425,1197.55,10389
2014,1,8,21,37.73,41162.48947,1503.75,10389
2014,1,8,22,34,39291.96986,1821.72,10347
2014,1,8,23,34.87,36664.673075,2430.46,10544
2014,1,9,0,28.07,33880.346658,3179.43,10049
2014,1,9,1,28.11,32117.295828,2917.23,10411
2014,1,9,2,26.71,31154.727828,2574.98,10411
2014,1,9,3,25.32,30741.829713,2214.81,10411
2014,1,9,4,25.45,30823.145375,1565.22,10411
2014,1,9,5,27,31543.499978,1033.74,10411
2014,1,9,6,30,33821.251595,764.33,10411
2014,1,9,7,46.55,37796.492823,765.35,10411
2014,1,9,8,45.37,39631.573835,733.37,10636
2014,1,9,9,42.94,38881.61632,504.25,10781
2014,1,9,10,37.28,38688.930353,288.5,10688
2014,1,9,11,37.17,38615.040313,194.99,11045
2014,1,9,12,32.02,38064.232125,184.16,11045
2014,1,9,13,31.14,37302.344595,218.37,11292
2014,1,9,14,30.21,36598.299133,462.75,11132
2014,1,9,15,28.94,35877.19217,723.8,10883
2014,1,9,16,27.53,35610.040378,922.64,10883
2014,1,9,17,28.28,35982.287445,1086.49,10883
2014,1,9,18,39.4,37110.832108,1424.34,10882
2014,1,9,19,41.65,38956.367325,1834.01,10650
2014,1,9,20,35.57,38750.037548,2882.47,10650
2014,1,9,21,35.18,38160.426693,4370.04,10650
2014,1,9,22,33.6,36755.384145,5463.38,11240
2014,1,9,23,29.87,34287.411055,6416.76,10456
2014,1,10,0,23.86,31629.425013,7010.12,10456
2014,1,10,1,19.93,29704.33172,7082.67,10456
2014,1,10,2,18.62,28632.477743,6973.29,11266
2014,1,10,3,18.68,28018.576253,6902.39,11266
2014,1,10,4,18.01,27756.79666,6787.13,11266
2014,1,10,5,19.41,28185.099105,6892.91,11266
2014,1,10,6,22.87,29787.027898,6160.02,11266
2014,1,10,7,34,33181.45884,5411.38,11266
2014,1,10,8,31.36,34970.25932,6090.69,11934
2014,1,10,9,28.17,34307.237735,6040.3,11934
2014,1,10,10,29.24,34360.508248,6255.02,11934
2014,1,10,11,27.93,34582.696508,6109.83,11934
2014,1,10,12,27.98,34433.205953,5743.4,11528
2014,1,10,13,28.52,34056.484233,6313.66,11280
2014,1,10,14,28.99,33725.10726,7052.22,11280
2014,1,10,15,26.94,33400.992393,7243.4,11280
2014,1,10,16,26.16,33016.43649,7728.83,11135
2014,1,10,17,26.79,32812.247155,7999.36,11135
2014,1,10,18,38.05,33187.530398,7196.92,10782
2014,1,10,19,41.65,34696.06511,4469.02,11100
2014,1,10,20,35.15,34383.308853,3040.7,11100
2014,1,10,21,31.82,33681.769018,3240.44,11100
2014,1,10,22,29.3,32885.15556,3440.81,11413
2014,1,10,23,26.92,31576.54019,3757.78,11845
2014,1,11,0,24.46,30024.175703,3635.41,11725
2014,1,11,1,25.25,28443.49728,3152.43,14003
2014,1,11,2,22.27,27591.171993,3012.59,14003
2014,1,11,3,21.23,27229.757068,2977.96,14003
2014,1,11,4,21.43,27295.04603,2408.49,14003
2014,1,11,5,22.48,27653.99359,1712.54,14003
2014,1,11,6,24.69,28836.904978,1601.8,14240
2014,1,11,7,30.14,30613.269058,1688.68,14003
2014,1,11,8,34.42,32411.979773,1545.71,14441
2014,1,11,9,39.03,33549.808368,1259.01,14441
2014,1,11,10,50,33839.703958,1015.05,14441
2014,1,11,11,45.42,33586.250958,664.45,14441
2014,1,11,12,33.48,33049.921693,372.64,14441
2014,1,11,13,29.45,32253.54358,603.42,14441
2014,1,11,14,27.38,31495.142553,942.52,14139
2014,1,11,15,26.58,30880.16639,1074.9,13871
2014,1,11,16,26.58,30435.058288,1124.05,13796
2014,1,11,17,26.79,30251.033593,1189.64,13796
2014,1,11,18,30.48,30866.684883,1215.49,13796
2014,1,11,19,39.58,32915.42931,1133.32,13616
2014,1,11,20,31.11,33177.450875,1728.33,13616
2014,1,11,21,30,32968.916678,2879.85,13616
2014,1,11,22,29.85,32569.607525,4505.49,13699
2014,1,11,23,24.64,31778.909755,6617.18,13699
2014,1,12,0,23.1,30650.727685,8106.22,13298
2014,1,12,1,21.4,29635.6738,8702.03,12840
2014,1,12,2,19.23,29148.550175,8877.12,12522
2014,1,12,3,18.98,28994.577298,8874.57,12522
2014,1,12,4,18.31,29031.515038,8649.07,12522
2014,1,12,5,18.93,29480.8921,8579.34,12522
2014,1,12,6,19.3,30285.57657,8531.85,13347
2014,1,12,7,20.72,31640.522743,8550.59,13778
2014,1,12,8,23.08,32930.526543,8650.93,12953
2014,1,12,9,25.57,33800.54718,8662.69,12953
2014,1,12,10,26.34,33501.48822,8682.81,13031
2014,1,12,11,23.12,32739.930455,8506.16,12935
2014,1,12,12,21.53,31893.95798,8490.77,13000
2014,1,12,13,20.97,31394.032685,8674.02,13000
2014,1,12,14,20.5,30842.497453,8608.71,13000
2014,1,12,15,20.49,30438.502913,8621.99,13000
2014,1,12,16,20,30149.405153,8624.77,12953
2014,1,12,17,21.35,30212.38551,8628.14,12953
2014,1,12,18,34.59,31602.798768,8072.01,12953
2014,1,12,19,37.36,33764.59823,7428.43,12618
2014,1,12,20,32,34106.254695,7607.08,12262
2014,1,12,21,28.79,33554.309403,7908.71,12262
2014,1,12,22,25.87,32414.605613,8059.11,12262
2014,1,12,23,24.78,30418.452405,8375.43,12262
2014,1,13,0,19.14,28015.73608,8134.03,11400
2014,1,13,1,19.06,26207.770165,7133.72,12395
2014,1,13,2,17.96,25299.234803,7106.08,12395
2014,1,13,3,18.22,24877.199688,7457.84,12395
2014,1,13,4,19.07,24935.939933,7196.55,12395
2014,1,13,5,20.74,25559.597388,6576.3,12395
2014,1,13,6,28.95,27687.2336,5757.73,13220
2014,1,13,7,40,31904.24537,5451.97,13294
2014,1,13,8,39.21,34401.574823,5165.11,13294
2014,1,13,9,37.31,33851.184055,5192.57,12469
2014,1,13,10,35.13,33848.959808,4689.57,13534
2014,1,13,11,32.72,33953.274363,3567,13459
2014,1,13,12,30,33875.161683,3628.06,13459
2014,1,13,13,27.99,33402.87028,3953.7,13459
2014,1,13,14,27.19,33096.293183,3796.54,13387
2014,1,13,15,26.76,32693.085888,4288.35,13431
2014,1,13,16,26.29,32276.346135,4742.53,13431
2014,1,13,17,26.77,32432.532685,4477.78,13387
2014,1,13,18,37.8,33106.031943,4128.59,13387
2014,1,13,19,55.12,35902.635455,2613.64,13387
2014,1,13,20,46.99,36528.032938,1659.01,13387
2014,1,13,21,35.66,36410.289593,1262.67,13387
2014,1,13,22,31.15,35640.307725,1067.44,13387
2014,1,13,23,29.91,33820.94696,1521.09,13553
2014,1,14,0,28,31801.649808,2233.62,14203
2014,1,14,1,26.16,30725.700243,3205.55,14203
2014,1,14,2,24.29,30460.46854,3617.13,14203
2014,1,14,3,24.04,30531.428963,4070.86,14203
2014,1,14,4,24.41,31217.909155,3991.95,14203
2014,1,14,5,26.75,32542.540263,3858.66,13408
2014,1,14,6,30.12,35462.055573,4233.17,13408
2014,1,14,7,54.74,40507.952975,4247.82,13504
2014,1,14,8,50,42925.58317,4674.75,13504
2014,1,14,9,35.94,41162.394855,5506.2,13504
2014,1,14,10,31.28,38919.49475,5190.78,12902
2014,1,14,11,28.6,37051.179858,4668.88,13295
2014,1,14,12,26.08,35430.328658,5374.53,13462
2014,1,14,13,26.02,34148.746338,6378.28,13491
2014,1,14,14,26.05,33434.664138,6599.77,13189
2014,1,14,15,24.98,32707.22423,6771.51,13022
2014,1,14,16,24,32348.907355,6900.06,13022
2014,1,14,17,23.46,32461.8252,7168,13306
2014,1,14,18,35.56,33445.177343,7187.44,13277
2014,1,14,19,43.03,36255.046925,6544.36,13456
2014,1,14,20,36.11,36779.70607,6081.47,13323
2014,1,14,21,34.69,36669.645248,6070.77,13323
2014,1,14,22,31.5,35842.551993,5720.7,13323
2014,1,14,23,30.69,33985.20008,6009.68,13323
2014,1,15,0,28.75,31816.499533,5470,12673
2014,1,15,1,25.45,30719.44481,4543.27,12756
2014,1,15,2,24.65,30354.12622,4262.85,12756
2014,1,15,3,24.93,30671.554375,3757.39,12756
2014,1,15,4,25.23,31386.471858,3578.48,12756
2014,1,15,5,26.86,32800.528948,3533.48,12756
2014,1,15,6,36.18,35837.867433,3093.62,12756
2014,1,15,7,70.2,40735.844335,2522.83,13501
2014,1,15,8,51.98,43172.154353,2205.13,13501
2014,1,15,9,40.5,41585.80879,1899.39,13501
2014,1,15,10,37.53,39826.766048,1383.8,13669
2014,1,15,11,32.81,38195.866815,790.38,13669
2014,1,15,12,29.83,36678.261253,884.61,13669
2014,1,15,13,27.03,35456.535643,1346.21,14269
2014,1,15,14,28,34558.789533,1793.22,14269
2014,1,15,15,26.78,33720.151023,2908.91,14269
2014,1,15,16,26,33088.256873,3780.53,13911
2014,1,15,17,26.21,33096.897225,3692.61,14204
2014,1,15,18,37.11,34198.002043,3424.99,13894
2014,1,15,19,41.93,37568.304058,2695.76,13633
2014,1,15,20,40,38591.066378,3501.91,13716
2014,1,15,21,35.81,38878.40235,5471.67,13668
2014,1,15,22,32.75,38305.77821,6253.88,13591
2014,1,15,23,29.79,36463.128325,7073.71,13274
2014,1,16,0,26.21,34350.324248,7370.54,13135
2014,1,16,1,25.29,33122.758168,7429.13,13459
2014,1,16,2,23.96,32744.71567,7517.89,13459
2014,1,16,3,23.44,32743.61575,7168.21,12957
2014,1,16,4,24.5,33059.73206,6434.62,12957
2014,1,16,5,27.34,34213.950153,5559.19,12957
2014,1,16,6,36.43,36932.756923,4901.64,12957
2014,1,16,7,70.76,41544.667385,4130.87,12957
2014,1,16,8,49.23,43417.888478,2940.55,13049
2014,1,16,9,41.42,41330.359935,2466.79,12453
2014,1,16,10,37.93,39235.11512,2488,12453
2014,1,16,11,33.31,37587.873558,2413.8,12453
2014,1,16,12,28.06,35944.605713,3490.98,12802
2014,1,16,13,26.66,34635.31168,5307.93,12802
2014,1,16,14,26.06,33810.41751,6581.47,12802
2014,1,16,15,25,33195.95256,7036.86,12760
2014,1,16,16,24.25,32864.815765,7008.72,12760
2014,1,16,17,25,32825.40946,6052.01,12760
2014,1,16,18,32.29,33463.946655,5064.65,12712
2014,1,16,19,41.3,36106.55867,4030.38,12458
2014,1,16,20,37.97,36668.16769,4345.56,12210
2014,1,16,21,38.19,36640.478623,4397.53,12210
2014,1,16,22,34.56,35785.664508,3291.57,12210
2014,1,16,23,32.31,33883.191645,2719.65,12812
2014,1,17,0,29.14,31678.02067,2388.49,13512
2014,1,17,1,30.01,30407.799568,2436.27,13512
2014,1,17,2,27.45,29809.419133,2417.05,13512
2014,1,17,3,26.06,29656.080415,2351.3,13512
2014,1,17,4,27.01,29984.175113,2429.4,13512
2014,1,17,5,29.41,30876.923723,2387.93,13512
2014,1,17,6,37.27,33588.869053,2523.64,13512
2014,1,17,7,68.97,38074.69222,2164.3,13512
2014,1,17,8,51.03,40263.90361,2007.87,13512
2014,1,17,9,42.21,39337.439478,2275.97,13512
2014,1,17,10,37.56,38494.756625,2159.8,13512
2014,1,17,11,33.39,37560.80042,1735.92,13444
2014,1,17,12,30.45,36531.653005,1876.26,12812
2014,1,17,13,30.03,35235.30417,1694.93,13725
2014,1,17,14,29.13,34437.29911,1654.09,13125
2014,1,17,15,26.76,33599.41181,1641.66,13125
2014,1,17,16,25.27,32968.258428,1691.17,13280
2014,1,17,17,26,32825.522858,1858.11,13452
2014,1,17,18,34.46,33584.838793,1738.72,12962
2014,1,17,19,40,36378.203025,1230.2,12962
2014,1,17,20,37.68,37201.68948,1461.88,13037
2014,1,17,21,35.22,37366.731045,2076.75,13037
2014,1,17,22,31.82,37216.986413,3102.26,13037
2014,1,17,23,34.93,36482.752918,4639.59,13037
2014,1,18,0,29.06,35145.971438,6196.65,12911
2014,1,18,1,28.89,34265.042835,7001.3,14013
2014,1,18,2,26.55,33806.186683,7101.03,14013
2014,1,18,3,25.43,33724.28442,7363.78,14013
2014,1,18,4,25.45,33950.146113,7278.39,14013
2014,1,18,5,28.67,34490.2313,7371.79,14013
2014,1,18,6,30.03,35627.974395,7125.93,14013
2014,1,18,7,39.29,37460.279423,6493.77,14013
2014,1,18,8,50.71,39129.19161,6107.96,14013
